"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"185","Mike Strachan","WR","CAR","-","-","-","-","-","-","BYE","-","-","5.5","0","-","0","0","-","-","-","","1.4","5.5"
"186","Trishton Jackson","WR","MIN","-","-","-","-","-","0","1.7","0","3.2","0","-","-","BYE","-","-","-","-","","1","4.9"
"186","Austin Trammell","WR","LAR","-","0","-","0","0","-2","0","0","1.6","BYE","5.3","0","0","0","0","0","0","","0.4","4.9"
"188","Miles Boykin","WR","PIT","0","1.5","-","-","0","BYE","-","0","1.6","0","0","0","0","0","0","1.6","0","","0.4","4.7"
"189","Kayshon Boutte","WR","NE","0","-","-","-","-","-","-","-","-","2.1","BYE","1.8","-","-","-","0","-","","1","3.9"
"190","Willie Snead IV","WR","SF","-","-","-","1.9","-","-","-","0","BYE","0","-","-","-","-","-","1.5","-","","0.9","3.4"
"191","Malik Taylor","WR","NYJ","-","-","-","-","-","-","BYE","0","1.7","1.6","-","-","-","-","-","-","-","","1.1","3.3"
"192","Gunner Olszewski","WR","NYG","-","-1","-","-","-2","-","-","0","0","0","0","0","BYE","0","0","0","6","","0.3","3"
"193","Erik Ezukanma","WR","MIA","1.7","0.5","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","","1.1","2.2"
"194","Collin Johnson","WR","CHI","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","2.1","","1.1","2.1"
"195","Cody Thompson","WR","SEA","-","-","-","2","BYE","0","0","-","-","-","-","-","-","-","-","-","-","","0.7","2"
"196","Britain Covey","WR","PHI","0","0","0","0","0","0","0","0","0","BYE","0","0","0","0","0","1.7","-","","0.1","1.7"
"197","Mason Kinsey","WR","TEN","-","-","0","0","-","-","BYE","-","-","-","-","-","-","-","0","1.6","0","","0.3","1.6"
"198","Colton Dowell","WR","TEN","-","-","-","0","-","0","BYE","-","-","-","0","0","0","0","0","1.3","0","","0.1","1.3"
"199","Kwamie Lassiter II","WR","CIN","-","-","-","-","1.2","-","BYE","-","-","-","-","-","-","-","-","-","-","","1.2","1.2"
"199","Antoine Green","WR","DET","-","1.2","-","-","0","0","0","0","BYE","0","-","-","-","-","-","-","-","","0.2","1.2"
"201","Dee Eskridge","WR","SEA","-","-","-","-","BYE","-","-","-0.5","0","-","0","1","-","-","-","-","-","","0.1","0.5"
"202","Dareke Young","WR","SEA","-","-","-","-","BYE","-","-","-","-","0","-","-","-","0","0","0","-","","0","0"
"202","Shedrick Jackson","WR","CIN","-","-","-","-","-","-","BYE","-","-","0","0","-","-","-","-","-","-","","0","0"
"202","David Sills","WR","DEN","-","-","-","-","-","-","-","-","BYE","0","0","0","-","-","-","-","-","","0","0"
"202","Michael Bandy","WR","DEN","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","","0","0"
"202","Dax Milne","WR","WAS","-","-","-","-","-","-","-","-","-","-","0","-","-","BYE","-","-","-","","0","0"
"202","Terrell Bynum","WR","LAC","-","-","-","-","BYE","-","-","-","-","-","0","-","-","-","-","-","-","","0","0"
"202","Phillip Dorsett II","WR","DEN","0","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","","0","0"
"202","Stanley Morgan Jr.","WR","CIN","-","-","-","-","-","-","BYE","-","0","0","-","-","-","-","-","-","-","","0","0"
"202","Marquez Callaway","WR","NO","-","-","-","-","-","-","-","-","-","-","BYE","-","0","0","0","-","-","","0","0"
"202","Dan Chisena","WR","ARI","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","-","0","-","","0","0"
"202","Ryan Miller","WR","TB","-","-","-","-","BYE","-","-","-","-","-","-","-","0","-","-","-","-","","0","0"
"202","Ethan Fernea","WR","IND","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","-","","0","0"
"202","Lucky Jackson","WR","MIN","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","0","","0","0"
"202","Chase Cota","WR","HOU","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","0","-","","0","0"
"202","Chris Blair","WR","ATL","-","-","-","-","-","-","-","-","-","-","BYE","0","-","-","-","-","-","","0","0"
"202","Kirk Merritt","WR","FA","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"202","Tay Martin","WR","SF","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","","0","0"
"202","Amari Rodgers","WR","FA","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"202","Cephus Johnson III","WR","TB","0","-","-","0","BYE","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"202","Justin Hardee","WR","NYJ","-","-","0","-","0","-","BYE","-","-","-","-","-","0","0","0","0","-","","0","0"
"202","Andy Isabella","WR","BUF","-","-","0","-","-","-","-","-","-","-","-","0","BYE","-","-","-","-","","0","0"
"202","Devon Allen","WR","PHI","-","-","0","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","","0","0"
"202","Montrell Washington","WR","KC","-","-","0","0","0","0","-","-","-","BYE","-","0","-","-","-","-","-","","0","0"
"202","Matthew Slater","WR","NE","-","-","-","0","0","-","0","-","-","-","BYE","-","-","0","-","-","0","","0","0"
"202","Laquon Treadwell","WR","BAL","-","-","-","0","0","-","-","-","-","-","-","-","BYE","-","-","-","0","","0","0"
"202","Kearis Jackson","WR","TEN","0","0","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","","0","0"
"202","Isaiah Winstead","WR","FA","-","-","-","0","-","-","0","0","-","-","-","-","-","-","-","-","-","","0","0"
"202","N'Keal Harry","WR","MIN","-","-","-","-","0","0","0","0","0","0","0","0","BYE","-","-","-","-","","0","0"
"202","Irvin Charles","WR","NYJ","-","-","-","-","0","0","BYE","-","0","0","0","0","-","0","0","0","0","","0","0"
"202","Damiere Byrd","WR","FA","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","","0","0"
"202","Dylan Drummond","WR","NYG","-","-","-","-","0","-","-","-","-","-","-","-","BYE","-","-","-","-","","0","0"
"202","Jaelon Darden","WR","CLE","-","-","-","-","BYE","0","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"202","Chris Conley","WR","SF","-","-","-","-","-","-","0","-","BYE","-","-","-","0","0","0","0","0","","0","0"
"202","Easop Winston Jr.","WR","SEA","-","-","-","-","BYE","-","0","-","-","-","-","-","-","-","-","-","-","","0","0"
"202","Juwann Winfree","WR","IND","-","-","-","-","-","-","-","0","0","0","BYE","-","-","-","-","-","-","","0","0"
"202","Andre Baccellia","WR","ARI","-","-","-","-","-","-","-","0","0","-","0","0","0","BYE","-","-","-","","0","0"
"202","DJ Turner","WR","LV","-","-","-","-","-","-","-","0","0","-","0","-","BYE","0","0","0","-","","0","0"
"202","Jalen Virgil","WR","DEN","-","-","-","-","-","-","-","0","BYE","-","-","-","-","-","-","-","-","","0","0"
"202","Tre'Quan Smith","WR","DEN","0","-","-","-","-","-","-","0","BYE","-","-","-","-","-","-","-","-","","0","0"
"241","James Proche II","WR","CLE","-","-","-","-","BYE","-","-","-","0","-2","0","0","0","0","0","0","0","","-0.2","-2"
"242","Trent Taylor","WR","CHI","0","0","-","0","0","0","0","-0.2","0","0","0","0","BYE","0","-2","0","0","","-0.1","-2.2"
""
""
